자치구명,법정동명,건물면적(㎡),물건금액(만원)
강남구,청담동,218.94,569000
강남구,도곡동,141.706,402000
강남구,개포동,182.2,275000
강남구,도곡동,152.74,368000
강남구,도곡동,117.57,226000
강남구,압구정동,111.5,380000
강남구,도곡동,122.81,284000
강남구,도곡동,134.902,388500
강남구,일원동,103.86,377000
강남구,도곡동,130.545,228500
강남구,도곡동,114.993,347000
강남구,역삼동,92.623,265000
강남구,대치동,97.35,277500
강남구,압구정동,152.39,580000
강남구,압구정동,107.16,408000
강남구,대치동,489.4,390000
강남구,논현동,114.498,205000
강남구,대치동,145.83,464000
강남구,압구정동,106.22,351000
강남구,일원동,99.79,195000
강남구,대치동,489.4,390000
강남구,대치동,127.78,400000
강남구,도곡동,119.89,330000
강남구,개포동,171.997,560000
강남구,압구정동,101.09,359000
강남구,논현동,242.16,500000
강남구,도곡동,176.72,467000
강남구,대치동,121.74,429000
강남구,청담동,188.51,514000
강남구,청담동,188.51,514000
강남구,압구정동,107.64,360000
강남구,청담동,248.25,480000
강남구,일원동,99.79,224000
강남구,신사동,127.33,585000
강남구,대치동,145.83,465000
강남구,논현동,105.4,115000
강남구,도곡동,112.92,225000
강남구,도곡동,112.92,225000
강남구,신사동,127.33,585000
강남구,수서동,129.45,213500
강남구,역삼동,285.0,50000
강남구,역삼동,285.0,50000
강남구,일원동,118.68,415000
강남구,청담동,117.19,208000
강남구,자곡동,101.94,186000
강남구,신사동,868.77,1070000
강남구,도곡동,223.59,730000
강남구,대치동,126.33,342000
강남구,압구정동,121.18,476500
강남구,개포동,114.08,232000
강남구,도곡동,174.67,540000
강남구,압구정동,105.31,434000
강남구,개포동,96.955,350000
강남구,대치동,127.78,400000
강남구,개포동,136.06,380000
강남구,삼성동,144.113,405000
강남구,도곡동,152.74,363500
강남구,삼성동,145.046,523000
강남구,압구정동,196.21,890000
강남구,도곡동,119.89,276000
강남구,청담동,227.59,220000
강남구,압구정동,144.2,495000
강남구,도곡동,124.66,225000
강남구,청담동,113.21,240000
강남구,압구정동,107.64,360000
강남구,개포동,96.91,296500
강남구,도곡동,134.902,340000
강남구,대치동,400.44,178800
강남구,삼성동,103.32,349000
강남구,청담동,107.22,190000
강남구,대치동,127.75,401000
강남구,압구정동,182.95,710000
강남구,도곡동,126.46,323000
강남구,대치동,128.01,365000
강남구,수서동,101.88,190900
강남구,청담동,259.37,385000
강남구,개포동,96.91,310000
강남구,도곡동,124.66,229000
강남구,삼성동,104.31,230000
강남구,대치동,97.35,275000
강남구,도곡동,130.259,268000
강남구,도곡동,148.73,248000
강남구,압구정동,161.9,500000
강남구,일원동,101.97,223500
강남구,압구정동,105.45,425000
강남구,논현동,132.59,124250
강남구,논현동,160.33,350000
강남구,대치동,145.83,460000
강남구,신사동,599.65,1800000
강남구,신사동,599.65,1800000
강남구,도곡동,159.44,480000
강남구,대치동,160.76,450000
강남구,수서동,97.63,170250
강남구,역삼동,127.27,358000
강남구,일원동,107.6,195500
강남구,압구정동,108.47,415000
강남구,일원동,134.438,250000
강남구,역삼동,550.27,501000
강남구,대치동,196.82,550000
강남구,압구정동,105.45,430000
강남구,도곡동,114.993,343000
강남구,대치동,151.27,479000
강남구,자곡동,91.95,171500
강남구,압구정동,182.95,744000
강남구,도곡동,116.24,210000
강남구,도곡동,119.89,325000
강남구,도곡동,104.01,181000
강남구,도곡동,122.81,318000
강남구,압구정동,108.31,425000
강남구,도곡동,115.63,300000
